Contracts,Order No.,Transaction Time(UTC+0),Leverage,Direction,Order Type,Filled Type,Filled Qty,Filled Price,Order Price,Trading Fee Rate,Fees Paid,Transaction ID
DOGEUSDT,851-Sell,2022-12-02 08:00:00,10,Open Short,--,Funding,1275000,0.09934,0.00000,-9.623e-05,-12.18834745,82999bf8
DOGEUSDT,cdae4f03,2022-12-02 02:13:16,10,Close Short,Limit,Trade,4130,0.09620,0.09620,6e-05,0.02383836,8a977023
DOGEUSDT,cdae4f03,2022-12-02 02:13:16,10,Close Short,Limit,Trade,2336,0.09620,0.09620,6e-05,0.0134834,3ee9a14d
DOGEUSDT,cdae4f03,2022-12-02 02:13:16,10,Close Short,Limit,Trade,16847,0.09620,0.09620,6e-05,0.09724089,306d73a3
DOGEUSDT,cdae4f03,2022-12-02 02:13:16,10,Close Short,Limit,Trade,36692,0.09620,0.09620,6e-05,0.21178623,92fa1baa
DOGEUSDT,cdae4f03,2022-12-02 02:13:16,10,Close Short,Limit,Trade,39995,0.09620,0.09620,6e-05,0.23085114,6893c636
DOGEUSDT,13e8147e,2022-12-02 02:13:11,10,Close Short,Limit,Trade,125000,0.09818,0.09818,6e-05,0.73635,0560dd07
DOGEUSDT,7d9f889d,2022-12-02 02:13:09,10,Close Short,Limit,Trade,125000,0.09883,0.09883,6e-05,0.741225,6290520d
DOGEUSDT,851-Sell,2022-12-02 00:00:00,10,Open Short,--,Funding,1625000,0.10169,0.00000,-0.0001,-16.524625,9c4b99f5
DOGEUSDT,851-Sell,2022-12-01 16:00:00,10,Open Short,--,Funding,1625000,0.10191,0.00000,-0.0001,-16.560375,fb31d065
DOGEUSDT,851-Sell,2022-12-01 08:00:00,10,Open Short,--,Funding,1625000,0.10262,0.00000,-0.0001,-16.67575,8cd3a11f
DOGEUSDT,851-Sell,2022-12-01 00:00:00,10,Open Short,--,Funding,1625000,0.10676,0.00000,-0.0001,-17.3485,62f787f6
DOGEUSDT,29c9e7bc,2022-11-30 22:56:24,10,Open Short,Limit,Trade,125000,0.10768,0.10768,6e-05,0.8076,eee06177
DOGEUSDT,af6de876,2022-11-30 18:04:58,10,Close Short,Limit,Trade,35042,0.10033,0.10033,6e-05,0.21094584,68d0082b
DOGEUSDT,af6de876,2022-11-30 18:04:58,10,Close Short,Limit,Trade,1946,0.10033,0.10033,6e-05,0.01171454,d59e1ee6
DOGEUSDT,af6de876,2022-11-30 18:04:58,10,Close Short,Limit,Trade,18851,0.10033,0.10033,6e-05,0.11347925,a9ad58cd
DOGEUSDT,af6de876,2022-11-30 18:04:58,10,Close Short,Limit,Trade,22514,0.10033,0.10033,6e-05,0.13552978,a107bc0b
DOGEUSDT,af6de876,2022-11-30 18:04:58,10,Close Short,Limit,Trade,14918,0.10033,0.10033,6e-05,0.08980338,9c301ed1
DOGEUSDT,af6de876,2022-11-30 18:04:58,10,Close Short,Limit,Trade,31729,0.10033,0.10033,6e-05,0.19100224,b0f508af
DOGEUSDT,567bd993,2022-11-30 17:25:24,10,Close Short,Limit,Trade,49518,0.10185,0.10185,6e-05,0.3026045,4286337d
DOGEUSDT,567bd993,2022-11-30 17:25:24,10,Close Short,Limit,Trade,30464,0.10185,0.10185,6e-05,0.18616551,3c1c7af7
DOGEUSDT,567bd993,2022-11-30 17:25:24,10,Close Short,Limit,Trade,45018,0.10185,0.10185,6e-05,0.275105,021305a4
DOGEUSDT,feecb56a,2022-11-30 17:23:16,10,Close Short,Limit,Trade,125000,0.10236,0.10236,6e-05,0.7677,34bd0a34
DOGEUSDT,851-Sell,2022-11-30 16:00:00,10,Open Short,--,Funding,1875000,0.10417,0.00000,-0.0001,-19.531875,73d3f9dc
DOGEUSDT,ffeed315,2022-11-30 10:20:10,10,Close Short,Limit,Trade,20900,0.10488,0.10488,6e-05,0.13151952,15f1dafd
DOGEUSDT,ffeed315,2022-11-30 10:20:10,10,Close Short,Limit,Trade,3824,0.10488,0.10488,6e-05,0.02406367,28423e79
DOGEUSDT,ffeed315,2022-11-30 10:20:10,10,Close Short,Limit,Trade,2955,0.10488,0.10488,6e-05,0.01859523,627da43a
DOGEUSDT,ffeed315,2022-11-30 10:20:10,10,Close Short,Limit,Trade,76097,0.10488,0.10488,6e-05,0.47886321,686fc605
DOGEUSDT,ffeed315,2022-11-30 10:20:10,10,Close Short,Limit,Trade,21224,0.10488,0.10488,6e-05,0.13355839,229db0f3
DOGEUSDT,851-Sell,2022-11-30 08:00:00,10,Open Short,--,Funding,2000000,0.10617,0.00000,-9.256e-05,-19.6541904,402b0549
DOGEUSDT,851-Sell,2022-11-30 00:00:00,10,Open Short,--,Funding,2000000,0.10138,0.00000,0.00010545,21.381042,07c67cb1
DOGEUSDT,851-Sell,2022-11-29 16:00:00,10,Open Short,--,Funding,2000000,0.10153,0.00000,-0.0001,-20.306,fe515489
DOGEUSDT,851-Sell,2022-11-29 08:00:00,10,Open Short,--,Funding,2000000,0.10240,0.00000,0.00305914,626.511872,31f94274
DOGEUSDT,9831cbc6,2022-11-29 02:25:35,10,Open Short,Limit,Trade,44156,0.10280,0.10280,6e-05,0.27235421,f99b565f
DOGEUSDT,9831cbc6,2022-11-29 02:25:35,10,Open Short,Limit,Trade,7557,0.10280,0.10280,6e-05,0.04661158,d3b4d7b1
DOGEUSDT,9831cbc6,2022-11-29 02:25:35,10,Open Short,Limit,Trade,73287,0.10280,0.10280,6e-05,0.45203422,fab79521
DOGEUSDT,8a974e56,2022-11-29 02:01:44,10,Open Short,Limit,Trade,125000,0.10210,0.10210,6e-05,0.76575,8eb382dd
